City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aykhal,66.0,111.5,-22.31,100,99,5.44,RU,1707262554
83,iqaluit,63.7506,-68.5145,-4.27,59,0,12.66,CA,1707262554
84,sept-iles,50.2001,-66.3821,23.0,75,20,3.44,CA,1707262262
85,colonia,50.9333,6.95,54.25,76,75,20.71,DE,1707262555
86,tralee,52.2704,-9.7026,40.01,87,99,5.08,IE,1707262556
87,ntchisi,-13.5278,33.9149,60.06,97,99,4.83,MW,1707262556
88,sonoita,31.85,-112.8333,56.43,81,95,24.61,MX,1707262556
89,newman,37.3138,-121.0208,55.74,79,80,8.99,US,1707262557
90,khalkhal,37.6189,48.5258,25.61,89,24,6.85,IR,1707262557
91,ribeira grande,38.5167,-28.7,63.77,94,90,20.0,PT,1707262557
92,blairgowrie,56.5916,-3.3405,35.02,80,98,1.01,GB,1707262558
93,pudozh,61.8099,36.5345,-16.06,100,73,4.0,RU,1707262558
94,kupang,-10.1667,123.5833,81.18,100,40,2.3,ID,1707262558
95,badger,64.8,-147.5333,14.13,76,20,4.61,US,1707262559
96,pangai,-19.8,-174.35,84.31,70,75,10.36,TO,1707262559
97,dunedin,-45.8742,170.5036,64.8,62,91,8.99,NZ,1707262281
98,katsuura,35.1333,140.3,43.07,66,98,11.72,JP,1707262304
99,port sudan,19.6175,37.2164,67.5,58,31,12.08,SD,1707262344
100,mezhdurechenskiy,59.6,65.9333,32.45,90,100,9.82,RU,1707262561
101,arraial do cabo,-22.9661,-42.0278,80.46,83,75,2.3,BR,1707262561
102,papatowai,-46.5619,169.4708,61.95,51,46,11.56,NZ,1707262561
103,la passe,45.5549,-0.8967,50.99,95,77,12.5,FR,1707262562
104,soeng sang,14.4264,102.4606,73.58,75,0,3.18,TH,1707262562
105,hawaiian paradise park,19.5933,-154.9731,76.87,74,100,18.41,US,1707262562
106,isafjordur,66.0755,-23.124,26.06,89,100,16.82,IS,1707262563
107,yellowknife,62.456,-114.3525,0.55,75,100,13.8,CA,1707262502
108,sao joao da barra,-21.6403,-41.0511,75.29,89,100,5.95,BR,1707262563
109,ha'il,27.5219,41.6907,44.62,49,0,2.3,SA,1707262564
110,lazaro cardenas,17.9583,-102.2,80.55,67,4,6.93,MX,1707262564
111,okhotsk,59.3833,143.3,-8.66,80,100,8.93,RU,1707262564
112,soure,-0.7167,-48.5233,80.37,85,46,10.67,BR,1707262565
113,kodiak,57.79,-152.4072,38.71,56,0,13.8,US,1707262565
114,slupsk,54.4641,17.0287,41.45,88,100,23.26,PL,1707262565
115,mumford,5.2618,-0.759,77.94,86,7,6.08,GH,1707262566
116,qaqortoq,60.7167,-46.0333,4.17,63,1,9.86,GL,1707262566
117,bubaque,11.2833,-15.8333,79.7,76,0,13.87,GW,1707262566
118,santa cruz,-17.8,-63.1667,86.05,58,40,13.8,BO,1707262306
119,caucete,-31.6518,-68.2811,97.07,24,89,18.07,AR,1707262567
120,kyadabek,40.5656,45.8161,26.64,71,66,8.25,AZ,1707262568
121,edinburgh of the seven seas,-37.0676,-12.3116,62.82,64,68,3.85,SH,1707262561
122,qarqaraly,49.4058,75.4742,17.02,76,85,8.16,KZ,1707262568
123,argo,37.6333,22.7333,54.79,48,1,5.12,GR,1707262569
124,punta arenas,-53.15,-70.9167,55.51,62,0,10.36,CL,1707262570
125,port macquarie,-31.4333,152.9167,72.9,85,100,12.66,AU,1707262409
126,tyazhinskiy,56.116,88.524,9.12,94,99,4.0,RU,1707262570
127,cartagena del chaira,1.3349,-74.8429,75.9,90,42,0.83,CO,1707262571
128,georgetown,5.4112,100.3354,80.53,89,20,5.75,MY,1707262571
129,ribeira brava,32.65,-17.0667,65.03,60,70,5.68,PT,1707262571
130,pravokumskoye,44.7694,44.6472,33.78,99,100,6.87,RU,1707262572
131,semporna,4.4818,118.6112,79.03,87,100,4.56,MY,1707262572
132,lamia,38.9,22.4333,58.12,42,27,4.47,GR,1707262572
133,islamorada,24.9243,-80.6278,66.02,84,7,19.35,US,1707262573
134,heroica caborca,30.7167,-112.15,57.34,76,100,10.13,MX,1707262573
135,ust-nera,64.5667,143.2,-28.93,92,91,0.63,RU,1707262573
136,smithers,54.7804,-127.1743,28.72,74,100,2.3,CA,1707262343
137,vorgashor,67.5833,63.95,-15.61,100,92,4.27,RU,1707262574
138,namibe,-15.1961,12.1522,76.28,79,100,0.4,AO,1707262574
139,jilib,0.4883,42.7854,78.24,87,92,8.19,SO,1707262575
140,fort bragg,35.139,-79.006,48.34,42,0,9.22,US,1707262572
141,stanley,54.868,-1.6985,36.72,75,0,8.05,GB,1707262564
142,copala,16.65,-98.9833,79.47,68,8,7.81,MX,1707262576
143,saipan,15.1355,145.701,81.3,61,0,12.66,MP,1707262564
144,madera,37.1666,-119.8343,55.31,83,97,4.99,US,1707262576
145,khovd,48.0056,91.6419,-7.06,96,51,1.25,MN,1707262577
146,baiyin,36.5583,104.2081,19.18,74,100,3.27,CN,1707262577
147,saldanha,-33.0117,17.9442,64.45,94,12,7.72,ZA,1707262577
148,nagqu,31.5,92.0,11.03,19,2,7.61,CN,1707262578
149,sai buri,6.7013,101.6168,74.91,88,59,5.57,TH,1707262578
150,fauske,67.2588,15.3918,21.24,90,98,6.69,NO,1707262578
151,port alfred,-33.5906,26.891,70.18,94,99,7.0,ZA,1707262579
152,fort st. john,56.2499,-120.8529,19.29,79,75,6.91,CA,1707262469
153,gamba,-2.65,10.0,78.17,86,94,4.21,GA,1707262579
154,nar'yan-mar,67.6713,53.087,-17.9,99,97,3.0,RU,1707262580
155,mingguang,32.7802,117.9638,26.15,89,93,4.14,CN,1707262580
156,talnakh,69.4865,88.3972,-5.06,85,100,7.09,RU,1707262289
157,sena madureira,-9.0656,-68.6569,76.75,88,30,2.53,BR,1707262581
158,kenora,49.8167,-94.4337,34.77,93,100,3.44,CA,1707262581
159,fort-shevchenko,44.5086,50.263,36.68,72,58,24.7,KZ,1707262581
160,qa'en,33.7265,59.1844,36.99,41,0,5.39,IR,1707262582
161,louisville,38.2542,-85.7594,45.1,63,0,6.91,US,1707262289
162,kegeyli shahar,42.7767,59.6078,33.89,74,52,19.8,UZ,1707262582
163,port elizabeth,-33.918,25.5701,69.31,92,40,19.57,ZA,1707262582
164,college,64.8569,-147.8028,14.2,76,40,4.61,US,1707262308
165,vilyuchinsk,52.9306,158.4028,16.07,82,100,4.25,RU,1707262293
166,hoemul-li,41.4339,129.67,25.14,56,5,2.95,KP,1707262583
167,afaahiti,-17.75,-149.2833,82.27,88,99,13.98,PF,1707262580
